"","Id","Months_since_Last_Donation","Number_of_Donations","Total_Volume_Donated_cc","Months_since_First_Donation","Made_Donation_in_March_2007","predictedProbabilities","stdResiduals","studentResiduals","dfbeta.(Intercept)","dfbeta.Months_since_Last_Donation","dfbeta.Number_of_Donations","dfbeta.Months_since_First_Donation","dffit","leverage","cooksDistance"
"166",553,11, 6,1500,27,"Not_Donated",0.202825511,-0.6748968,-0.6742065,-1.327671e-03,-6.889113e-04,-4.382704e-04, 1.369046e-04,-0.047471947,0.004659524,2.991627e-04
"454", 57, 2, 1, 250, 2,"Not_Donated",0.327908386,-0.8955079,-0.8939516,-1.917791e-02, 5.861159e-04, 2.829368e-04, 2.436076e-04,-0.087743858,0.008994638,1.117109e-03
"235",567,14, 2, 500,14,"Not_Donated",0.120359867,-0.5080001,-0.5072744,-1.642332e-03,-6.758322e-04, 4.213260e-05, 1.025767e-04,-0.040970715,0.006119667,2.119221e-04
"506",312,14, 8,2000,50,"Not_Donated",0.135349572,-0.5407463,-0.5400855, 2.794927e-03,-5.914844e-04, 4.218317e-05,-6.469242e-05,-0.040530115,0.005289370,2.092025e-04
"538", 95,14, 3, 750,35,"Not_Donated",0.091648813,-0.4393927,-0.4389504, 3.036750e-05,-4.086181e-04, 4.229695e-04,-5.830713e-05,-0.029447591,0.004234402,1.077187e-04
"28",175, 4,10,2500,28,"Donated",0.475240530, 1.2259919, 1.2243936, 8.795282e-03,-2.503409e-04, 3.318293e-03,-5.729999e-04, 0.127498937,0.010104525,2.846584e-03
"300",599,11, 4,1000,59,"Not_Donated",0.085256509,-0.4235536,-0.4228917, 5.152409e-04,-8.779733e-05, 8.818609e-04,-2.209939e-04,-0.035335717,0.006546571,1.545564e-04
"508",636,14, 7,1750,45,"Not_Donated",0.130256135,-0.5295992,-0.5290029, 2.020119e-03,-5.877743e-04, 7.811968e-05,-4.442848e-05,-0.038029608,0.004857193,1.836375e-04
"312",126,14, 5,1250,64,"Not_Donated",0.067894606,-0.3761441,-0.3755891, 1.456324e-03,-2.006148e-04, 6.464235e-04,-1.727440e-04,-0.030327955,0.006117964,1.127840e-04
"259", 20,16, 6,1500,35,"Donated",0.116321767, 2.0805806, 2.0853632,-6.940281e-03, 3.084328e-03, 4.372145e-04,-1.685428e-04, 0.167120869,0.006012155,1.155690e-02
"541",109,16, 3, 750,35,"Not_Donated",0.076739505,-0.4005427,-0.4000955, 5.412081e-04,-4.487306e-04, 3.265096e-04,-3.889952e-05,-0.028148922,0.004654516,9.762511e-05
"256",260,14, 4,1000,28,"Donated",0.120491754, 2.0621774, 2.0657283, 5.269362e-04, 2.480013e-03,-4.413162e-04,-1.170884e-04, 0.147227813,0.004756563,8.763088e-03
"381",560,16, 2, 500,70,"Not_Donated",0.032173616,-0.2564950,-0.2561261, 7.831879e-04,-1.089819e-04, 5.210034e-04,-1.229052e-04,-0.020210746,0.005845650,4.915499e-05
"321", 87,16, 1, 250,16,"Not_Donated",0.084732476,-0.4220432,-0.4214533,-7.133818e-04,-5.690006e-04, 1.918010e-04, 4.551438e-05,-0.033282658,0.005853682,1.370788e-04
